Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
926,J.B. Wendelken,29,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,wendejb01
927,Joey Wendle*,32,MIA,NL,91,335,312,25,80,23,1,3,31,11,3,14,42,0.256,0.296,0.365,0.662,86,114,4,5,1,3,0,546H/D,wendljo01
928,Eli White,28,TEX,AL,47,117,105,16,21,2,0,3,10,12,1,11,41,0.2,0.274,0.305,0.578,66,32,0,0,0,1,0,87/HD9,whiteel04
929,Aaron Whitefield,25,LAA,AL,5,11,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,-100,0,0,0,0,0,0,/987H,whiteaa01
930,Luke Williams,25,TOT,NL,74,133,124,20,29,5,1,1,6,11,4,9,43,0.234,0.286,0.315,0.6,70,39,1,0,0,0,1,57H4/D3,willilu01
931,Luke Williams,25,SFG,NL,8,12,12,1,3,1,0,0,3,0,0,0,4,0.25,0.25,0.333,0.583,62,4,0,0,0,0,0,/5H7,willilu01
932,Luke Williams,25,MIA,NL,66,121,112,19,26,4,1,1,3,11,4,9,39,0.232,0.289,0.313,0.602,70,35,1,0,0,0,1,75H4/D3,willilu01
933,Trevor Williams,30,NYM,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,willitr01
934,Marcus Wilson,25,SEA,AL,3,6,5,1,1,0,0,0,0,0,0,1,4,0.2,0.333,0.2,0.533,62,1,0,0,0,0,0,/H98D,wilsoma02
935,Jesse Winker*,28,SEA,AL,124,508,424,45,92,15,0,13,48,0,0,79,94,0.217,0.341,0.344,0.685,102,146,8,2,0,3,1,*7D/H,winkeje01
936,Patrick Wisdom,30,CHC,NL,120,481,420,60,89,25,0,22,59,7,4,51,161,0.212,0.305,0.429,0.733,103,180,8,6,2,2,1,*53/H7D89,wisdopa01
937,Bobby Witt,22,KCR,AL,131,548,510,72,127,26,6,20,72,27,7,27,118,0.249,0.292,0.441,0.733,104,225,10,6,0,5,2,65/DH,wittbo02
938,Tony Wolters*,30,LAD,NL,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,/42DH,wolteto01
939,Connor Wong,26,BOS,AL,13,27,22,5,5,1,0,1,4,0,0,3,6,0.227,0.308,0.409,0.717,97,9,0,0,1,1,0,/2H45,wongco01
940,Kolten Wong*,31,MIL,NL,115,430,373,57,92,21,4,11,37,15,4,37,76,0.247,0.332,0.413,0.745,110,154,5,13,2,5,1,*4H/D6,wongko01
941,Austin Wynns,31,SFG,NL,54,149,135,10,30,7,0,1,15,0,0,9,36,0.222,0.284,0.296,0.58,64,40,7,3,1,1,0,2/DH1,wynnsau01
942,Mike Yastrzemski*,31,SFG,NL,129,482,417,61,88,27,2,12,45,5,1,56,120,0.211,0.309,0.372,0.681,91,155,3,5,0,4,0,*98H/D,yastrmi01
943,Christian Yelich*,30,MIL,NL,134,585,502,90,130,22,4,12,52,16,2,75,137,0.259,0.36,0.39,0.75,113,196,9,5,1,2,5,*7D/H,yelicch01
944,Juan Yepez,24,STL,NL,63,229,210,24,53,10,0,11,27,0,0,14,53,0.252,0.297,0.457,0.754,113,96,1,1,0,4,0,7D93/H,yepezju01
945,Seby Zavala,28,CHW,AL,54,189,164,20,45,13,0,2,20,0,0,17,60,0.274,0.349,0.39,0.74,110,64,1,3,3,2,0,2/H3D,zavalse01
946,Bradley Zimmer*,29,TOT,MLB,94,104,93,16,12,5,0,2,3,2,1,5,38,0.129,0.214,0.247,0.461,31,23,0,5,1,0,0,8H/D9,zimmebr01
947,Bradley Zimmer*,29,TOR,AL,85,88,77,12,8,4,0,2,3,2,1,5,34,0.104,0.207,0.234,0.441,26,18,0,5,1,0,0,8H/D9,zimmebr01
948,Bradley Zimmer*,29,PHI,NL,9,16,16,4,4,1,0,0,0,0,0,0,4,0.25,0.25,0.313,0.563,57,5,0,0,0,0,0,/8H,zimmebr01
949,Mike Zunino,31,TBR,AL,36,123,115,7,17,3,0,5,16,0,0,6,46,0.148,0.195,0.304,0.499,45,35,2,1,0,1,0,2/H,zuninmi01
,LgAvg per 600 PA,,,,167,600,539,69,130,26,2,17,65,8,3,49,135,0.242,0.311,0.393,0.705,,212,11,7,1,4,2,,-9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provided by <a href=""https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool"">Baseball-Reference.com</a>: <a href=""https://www.baseball-reference.com/leagues/majors/2022-standard-batting.shtml?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#players_standard_batting"">View Original Table</a><br>Generated 9/14/2022.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
